lev.final,TAXON,ELEMENT_MAMMAL,NISP,MNE,MNI,MAU,MAU_percent
J,Hyaena_sp.,Mandible_no_teeth,1,1,1,0.5,100
K,Capra_ibex,Mandible_w_teeth,3,3,2,1.5,100
K,Capra_sp.,Mandible_no_teeth,2,1,1,0.5,100
K,Crocuta_spelaea,Mandible_no_teeth,1,1,1,0.5,100
K,Ursus_spelaeus,Mandible_w_teeth,1,1,1,0.5,33.33333333333333
I,Bison_priscus,Mandible_M1,1,1,1,0.5,50
I,Bison_priscus,Mandible_P4,2,2,2,1,100
I,Bison_priscus,Maxilla_M2,1,1,1,0.5,50
I,Bos_Bison_sp.,Mandible_C,1,1,1,0.5,5.88235294117647
I,Bos_Bison_sp.,Mandible_I2,1,1,1,0.5,5.88235294117647
I,Bos_Bison_sp.,Mandible_M2,1,1,1,0.5,5.88235294117647
I,Bos_primigenius,Mandible_M3,1,1,1,0.5,16.666666666666664
I,Canis_lupus,Mandible_I2,2,2,2,1,100
I,Canis_lupus,Mandible_P3,2,2,1,1,100
I,Canis_lupus,Maxilla_I2,1,1,1,0.5,50
I,Capra_ibex,Mandible_dp4,1,1,1,0.5,50
I,Capra_ibex,Mandible_I1,1,1,1,0.5,50
I,Capra_ibex,Mandible_M1,2,2,2,1,100
I,Capra_ibex,Mandible_P3,1,1,1,0.5,50
I,Capra_ibex,Maxilla_M1,2,2,2,1,100
I,Capra_ibex,Maxilla_M3,1,1,1,0.5,50
I,Capra_ibex,Maxilla_P3,1,1,1,0.5,50
I,Capra_sp.,Maxilla_P4,1,1,1,0.5,16.666666666666664
I,Cervid_sp.,Mandible_P2,1,1,1,0.5,8.333333333333332
I,Cervus_elaphus,Mandible_I2,1,1,1,0.5,11.11111111111111
I,Cervus_elaphus,Mandible_P3,1,1,1,0.5,11.11111111111111
I,Crocuta_spelaea,Mandible_M1,1,1,1,0.5,50
I,Crocuta_spelaea,Mandible_P1,1,1,1,0.5,50
I,Crocuta_spelaea,Maxilla_P1,1,1,1,0.5,50
I,Equid_sp.,Mandible_I1,1,1,1,0.5,16.666666666666664
I,Equid_sp.,Maxilla_P2,1,1,1,0.5,16.666666666666664
I,Equus_ferus,Mandible_P4,1,1,1,0.5,33.33333333333333
I,Equus_ferus,Maxilla_M1,1,1,1,0.5,33.33333333333333
I,Ursus_sp.,Mandible_I1,2,2,1,1,28.57142857142857
I,Ursus_sp.,Mandible_I2,1,1,1,0.5,14.285714285714285
I,Ursus_sp.,Maxilla_I1,1,1,1,0.5,14.285714285714285
I,Ursus_spelaeus,Mandible_I1,7,7,6,3.5,100
